user_id,province,course_type,watch_seconds,payment_amount,completion_rate,rating,payment_status,visit_date
U100105,四川,大数据基础,9708,80.49,0.84,5.0,paid,2026-05-15
U100106,河南,Python开发,5682,125.29,0.28,5.0,refund,2026-01-12
U100107,山东,Python开发,13303,398.49,0.7,,paid,2026-05-13
U100108,北京,Python开发,2803,438.82,0.16,3.5,paid,2026-01-20
U100109,广东,大数据基础,9393,232.32,0.79,5.0,refund,2026-05-14
U100110,山东,Linux运维,12524,202.65,0.42,5.0,paid,2026-01-20
U100111,湖北,数据库应用,6691,259.96,0.83,,refund,2026-01-30
U100112,北京,数据库应用,10100,103.59,0.64,,paid,2026-02-22
U100113,河南,Linux运维,11075,498.63,0.31,4.0,refund,2026-01-06
U100114,江苏,大数据基础,16676,80.76,0.79,5.0,paid,2026-04-04
U100115,湖北,Python开发,7101,156.82,0.68,5.0,paid,2026-04-07
U100116,北京,Python开发,17512,484.85,0.51,5.0,paid,2026-01-25
U100117,浙江,Spark分析,4453,191.81,0.87,4.5,paid,2026-01-22
U100118,河南,Spark分析,3986,377.7,0.99,4.5,paid,2026-03-02
U100119,山东,Python开发,7686,459.64,0.19,5.0,paid,2026-02-09
U100120,湖北,大数据基础,15120,246.2,0.55,3.5,paid,2026-05-11
U100121,四川,数据库应用,799,416.74,0.8,3.5,paid,2026-03-10
U100122,北京,Linux运维,17853,418.12,0.7,4.0,refund,2026-04-24
U100123,广东,Linux运维,13034,491.68,0.96,3.5,refund,2026-02-27
U100124,广东,Python开发,4326,393.2,0.18,,paid,2026-04-15
U100125,山东,数据库应用,15634,370.88,0.17,4.0,refund,2026-04-12
U100126,山东,大数据基础,3402,131.62,0.81,,refund,2026-05-19
U100127,江苏,Spark分析,11999,430.03,0.26,4.0,paid,2026-05-09
U100128,广东,数据库应用,14750,295.92,0.84,3.5,paid,2026-02-26
U100129,山东,数据库应用,803,242.69,0.37,4.0,paid,2026-04-05
U100130,江苏,Python开发,9698,259.33,0.66,4.5,refund,2026-05-12
U100131,浙江,大数据基础,11102,92.2,0.63,3.5,paid,2026-03-30
U100132,河南,Python开发,9009,445.23,1.0,,refund,2026-04-10
U100133,上海,Python开发,15953,44.3,0.86,4.5,paid,2026-02-21
U100134,上海,Spark分析,196,425.7,0.35,3.5,paid,2026-01-17
U100135,山东,大数据基础,13928,401.54,0.67,3.5,paid,2026-02-19
U100136,河南,数据库应用,15659,290.75,0.74,5.0,refund,2026-01-12
U100137,上海,Python开发,30000,197.5,0.5,4.5,paid,2026-05-05
U100138,山东,Linux运维,11873,493.32,0.42,4.0,refund,2026-02-27
U100139,湖北,Linux运维,4375,48.78,0.7,5.0,paid,2026-05-13
U100140,山东,大数据基础,12615,445.21,0.8,4.5,paid,2026-04-11
U100141,河南,数据库应用,10105,262.86,0.71,3.5,paid,2026-03-07
U100142,,大数据基础,7023,319.27,0.39,,paid,2026-04-16
U100143,山东,Python开发,6904,149.49,0.92,5.0,refund,2026-01-14
U100144,江苏,大数据基础,10686,434.91,0.36,,paid,2026-04-30
U100145,广东,Python开发,14843,105.93,0.24,,refund,2026-04-18
U100146,上海,Python开发,11140,170.79,0.44,4.0,paid,2026-01-16
U100147,北京,Python开发,15268,128.61,0.15,4.0,paid,2026-03-20
U100148,上海,Linux运维,13513,231.48,0.91,,paid,2026-03-16
U100149,湖北,Linux运维,8192,273.4,0.35,4.0,paid,2026-05-08
U100150,,Python开发,9896,309.26,0.91,4.5,paid,2026-05-17
U100151,江苏,Python开发,6971,106.82,0.56,4.5,paid,2026-05-11
U100152,,Python开发,2094,136.11,0.5,3.5,refund,2026-05-21
U100153,山东,Spark分析,8604,209.92,0.48,,refund,2026-01-06
U100154,江苏,数据库应用,6850,162.71,0.73,4.0,paid,2026-03-30
U100155,江苏,Spark分析,1017,39.15,1.0,4.5,paid,2026-04-04
U100156,,Python开发,8291,465.46,0.59,5.0,paid,2026-03-13
U100157,,Python开发,3103,352.16,0.49,,refund,2026-04-24
U100158,广东,Spark分析,3103,444.99,0.69,4.0,refund,2026-02-17
U100159,浙江,Python开发,3793,301.35,0.35,5.0,paid,2026-02-26
U100160,广东,Python开发,9216,326.57,0.82,3.5,paid,2026-01-09
U100161,北京,Python开发,2698,490.91,0.48,4.5,refund,2026-05-17
U100162,浙江,大数据基础,3127,275.41,0.18,4.5,paid,2026-01-01
U100163,江苏,Spark分析,17694,163.61,0.29,3.5,paid,2026-01-05
U100164,上海,大数据基础,163,254.73,0.56,,refund,2026-01-12
U100165,山东,Spark分析,8709,338.14,0.6,5.0,paid,2026-05-20
U100166,北京,数据库应用,7422,409.36,0.52,4.0,paid,2026-03-24
U100167,北京,Spark分析,13588,348.41,0.27,3.5,paid,2026-03-29
U100168,浙江,数据库应用,12348,29.28,0.78,5.0,paid,2026-01-28
U100169,浙江,Python开发,8963,94.71,0.31,,paid,2026-04-09
U100170,浙江,Linux运维,13069,131.62,0.37,,paid,2026-01-30
U100171,江苏,数据库应用,16515,420.5,0.67,4.0,paid,2026-02-06
U100172,四川,大数据基础,639,304.8,0.16,4.5,paid,2026-03-28
U100173,上海,Spark分析,1205,145.84,0.49,3.5,paid,2026-04-12
U100174,上海,Python开发,16134,149.28,0.94,4.0,paid,2026-04-18
U100175,江苏,Spark分析,1571,206.86,0.62,4.5,paid,2026-01-11
U100176,上海,Spark分析,15183,484.89,0.4,4.5,refund,2026-05-14
U100177,江苏,大数据基础,17730,434.81,0.57,,paid,2026-01-31
U100178,河南,大数据基础,8533,123.66,0.54,3.5,paid,2026-02-28
U100179,江苏,Python开发,16982,376.69,0.21,4.5,paid,2026-05-07
U100180,山东,数据库应用,17397,399.06,0.7,5.0,paid,2026-03-14
U100181,湖北,Spark分析,1018,244.65,0.8,,paid,2026-05-11
U100182,山东,大数据基础,10994,240.3,0.28,5.0,paid,2026-03-28
U100183,广东,Linux运维,7760,140.35,0.31,5.0,paid,2026-02-07
U100184,江苏,大数据基础,12587,91.48,0.71,4.0,paid,2026-03-29
U100185,山东,数据库应用,5894,448.58,0.87,3.5,refund,2026-01-31
U100186,河南,数据库应用,17607,103.33,0.93,3.5,paid,2026-04-21
U100187,北京,大数据基础,11128,108.17,0.59,4.5,paid,2026-05-17
U100188,山东,Linux运维,5925,314.16,0.61,3.5,refund,2026-01-13
U100189,,Spark分析,10075,107.63,0.27,4.5,refund,2026-03-11
U100190,河南,大数据基础,2533,363.31,0.48,4.5,refund,2026-03-29
U100191,河南,Spark分析,7542,128.37,0.81,4.0,paid,2026-04-05
U100192,,Python开发,5633,95.11,0.4,5.0,paid,2026-03-15
U100193,上海,Linux运维,15763,220.62,0.34,,refund,2026-02-24
U100194,浙江,Linux运维,6509,73.75,0.57,,paid,2026-05-10
U100195,河南,Python开发,9144,152.66,0.37,3.5,paid,2026-02-21
U100196,广东,大数据基础,9357,439.63,0.85,4.5,paid,2026-01-04
U100197,北京,Python开发,11894,343.96,0.48,4.5,refund,2026-02-19
U100198,江苏,大数据基础,15912,187.22,0.88,3.5,paid,2026-05-21
U100199,江苏,Linux运维,10036,160.97,0.22,4.0,paid,2026-02-12
U100200,广东,Spark分析,342,161.34,0.95,3.5,paid,2026-02-03
U100201,湖北,Spark分析,838,35.17,0.77,,paid,2026-04-10
U100202,河南,Spark分析,3973,348.88,0.82,5.0,paid,2026-05-17
U100203,浙江,Python开发,3659,270.68,0.33,4.0,paid,2026-05-04
U100204,上海,Spark分析,16030,279.15,0.91,4.5,refund,2026-03-21
U100205,广东,Python开发,14829,180.14,0.33,5.0,refund,2026-03-02
U100206,浙江,大数据基础,5453,31.21,0.79,4.0,paid,2026-04-25
U100207,湖北,Linux运维,15646,291.41,0.22,4.5,refund,2026-04-05
U100208,,Python开发,12610,53.21,0.51,3.5,refund,2026-03-01
U100209,湖北,Python开发,12682,67.97,0.76,4.5,refund,2026-01-11
U100210,广东,Linux运维,11530,305.25,0.79,4.5,paid,2026-01-24
U100211,河南,Spark分析,9750,81.29,0.35,3.5,paid,2026-05-05
U100212,四川,数据库应用,6901,345.36,0.27,3.5,paid,2026-05-20
U100213,广东,Linux运维,1716,62.77,0.48,4.0,refund,2026-03-18
U100214,广东,Spark分析,11055,272.46,0.35,5.0,refund,2026-05-05
U100215,江苏,Linux运维,4007,374.56,0.22,4.0,paid,2026-04-13
U100216,广东,Python开发,4319,128.17,0.88,5.0,refund,2026-03-17
U100217,,Python开发,3702,397.44,0.92,4.0,paid,2026-01-24
U100218,四川,Linux运维,8903,391.57,0.57,4.0,refund,2026-02-18
U100219,,Python开发,1107,412.47,0.25,4.5,paid,2026-05-14
U100220,湖北,大数据基础,3706,375.14,0.77,4.5,paid,2026-04-11
U100221,北京,大数据基础,17860,368.23,0.26,4.5,paid,2026-03-26
U100222,北京,数据库应用,6062,496.94,0.58,3.5,refund,2026-05-18
U100223,河南,大数据基础,17733,213.06,0.86,4.5,paid,2026-04-07
U100224,北京,数据库应用,1498,328.64,0.32,4.5,refund,2026-03-15
U100225,浙江,Linux运维,14267,300.95,0.95,3.5,paid,2026-02-21
U100226,北京,Linux运维,12392,485.89,0.62,3.5,paid,2026-01-13
U100227,北京,Python开发,13853,430.07,0.55,3.5,refund,2026-04-24
U100228,北京,大数据基础,7801,246.25,0.2,,paid,2026-02-09
U100229,湖北,Python开发,11242,209.8,0.38,4.0,paid,2026-04-29
U100230,四川,数据库应用,13575,355.83,0.24,3.5,paid,2026-02-12
U100231,,数据库应用,7972,62.56,0.58,,refund,2026-04-02
U100232,湖北,Linux运维,12067,263.39,0.36,4.5,paid,2026-01-07
U100233,,大数据基础,9822,355.43,0.79,4.5,paid,2026-03-30
U100234,浙江,Python开发,10139,243.35,0.64,4.0,refund,2026-05-11
U100235,河南,大数据基础,2324,471.19,0.48,4.5,paid,2026-01-18
U100236,广东,大数据基础,9733,102.94,0.59,4.5,paid,2026-05-13
U100237,四川,Python开发,3629,455.27,0.91,3.5,paid,2026-04-28
U100238,浙江,Python开发,1065,463.34,0.34,4.5,paid,2026-04-28
U100239,江苏,Linux运维,6572,318.07,0.34,4.5,paid,2026-01-17
U100240,,Linux运维,8789,282.19,0.21,3.5,paid,2026-01-10
U100241,江苏,Linux运维,16527,319.84,0.72,4.0,refund,2026-04-28
U100242,北京,Python开发,7457,117.82,0.72,3.5,refund,2026-03-24
U100243,北京,大数据基础,15807,264.91,0.33,4.5,paid,2026-02-01
U100244,,大数据基础,14073,238.78,0.79,5.0,paid,2026-02-21
U100245,江苏,Spark分析,10631,498.91,0.4,4.0,paid,2026-04-08
U100246,上海,Python开发,14455,99.02,0.21,3.5,paid,2026-04-01
U100247,四川,Spark分析,960,248.01,0.95,5.0,paid,2026-04-30
U100248,四川,Linux运维,5857,61.05,0.87,,paid,2026-04-28
U100249,浙江,Python开发,6774,202.59,0.36,3.5,paid,2026-01-12
U100250,湖北,Linux运维,8225,80.96,0.97,4.0,refund,2026-04-01
U100251,上海,Python开发,1381,343.31,0.82,4.5,paid,2026-05-03
U100252,山东,Linux运维,10336,487.31,0.54,3.5,refund,2026-02-20
U100253,广东,Python开发,453,152.62,0.59,4.5,paid,2026-03-07
U100254,河南,Spark分析,17899,97.87,0.64,4.0,paid,2026-02-19
U100255,四川,数据库应用,6821,202.18,0.3,4.0,paid,2026-01-29
U100256,江苏,Python开发,5717,133.22,0.42,5.0,paid,2026-04-28
U100257,河南,Linux运维,858,162.26,0.98,,refund,2026-02-01
U100258,河南,Python开发,5933,342.59,0.59,5.0,refund,2026-04-04
U100259,浙江,数据库应用,12918,147.67,0.7,3.5,paid,2026-02-10
U100260,浙江,数据库应用,4366,235.32,0.21,,paid,2026-02-09
U100261,,Linux运维,17029,211.26,0.73,4.5,paid,2026-02-01
U100262,山东,Spark分析,7387,315.6,0.96,3.5,paid,2026-03-25
U100263,江苏,Linux运维,6194,447.84,0.46,4.0,refund,2026-03-18
U100264,山东,Spark分析,12706,394.43,0.53,4.0,refund,2026-01-25
U100265,,Python开发,3541,462.13,0.17,4.5,refund,2026-03-04
U100266,广东,Python开发,7934,260.75,0.29,,paid,2026-01-14
U100267,江苏,大数据基础,9539,332.47,0.29,,paid,2026-02-01
U100268,山东,Python开发,15675,421.75,0.2,5.0,paid,2026-05-14
U100269,北京,Python开发,12377,137.38,0.91,,refund,2026-02-17
U100270,,大数据基础,17257,67.29,0.84,4.0,paid,2026-01-12
U100271,广东,Linux运维,721,232.2,0.26,5.0,paid,2026-01-12
U100272,江苏,数据库应用,1347,332.04,0.39,5.0,paid,2026-01-01
U100273,上海,Python开发,14637,174.76,0.94,4.0,paid,2026-05-11
U100274,上海,Python开发,30000,396.65,0.29,,paid,2026-01-25
U100275,四川,Linux运维,12247,446.59,0.46,4.0,refund,2026-03-28
U100276,广东,Spark分析,12384,107.38,0.82,,paid,2026-04-14
U100277,北京,Python开发,14257,241.13,0.54,3.5,refund,2026-04-08
U100278,上海,数据库应用,3244,379.23,0.57,4.5,paid,2026-04-17
U100279,上海,数据库应用,6620,366.19,0.82,,refund,2026-05-10
U100280,江苏,数据库应用,14779,262.32,0.48,4.5,paid,2026-03-18
U100281,,Spark分析,14810,417.82,0.63,,paid,2026-01-16
U100282,山东,数据库应用,8906,482.92,0.87,3.5,paid,2026-03-13
U100283,河南,Linux运维,4879,270.76,0.69,4.0,paid,2026-02-21
U100284,山东,大数据基础,14862,162.16,0.83,4.5,paid,2026-02-27
U100285,四川,大数据基础,3376,329.0,0.6,4.5,refund,2026-05-03
U100286,河南,数据库应用,8644,190.17,0.5,4.0,refund,2026-04-04
U100287,湖北,数据库应用,6763,230.49,0.78,,paid,2026-02-21
U100288,河南,Linux运维,10285,386.87,0.54,3.5,paid,2026-02-28
U100289,湖北,Linux运维,2520,394.45,0.37,4.0,paid,2026-01-21
U100290,湖北,Linux运维,14379,397.48,0.31,4.5,refund,2026-02-05
U100291,河南,Linux运维,17381,379.26,0.29,4.0,paid,2026-03-09
U100292,北京,Spark分析,4885,371.66,0.63,3.5,paid,2026-02-28
U100293,四川,Python开发,12897,121.56,0.48,4.0,paid,2026-02-18
U100294,四川,Python开发,11908,414.24,0.74,,refund,2026-04-30
U100295,浙江,Spark分析,5666,401.54,0.42,4.0,paid,2026-01-12
U100296,江苏,Linux运维,5933,193.68,0.7,4.5,paid,2026-03-04
U100297,上海,Linux运维,14668,227.16,0.43,4.5,paid,2026-03-02
U100298,浙江,Python开发,12129,458.91,0.2,4.5,paid,2026-04-03
U100299,山东,Python开发,1868,337.86,0.7,4.0,paid,2026-05-10
U100300,北京,数据库应用,13764,431.84,0.55,5.0,paid,2026-03-12
U100301,,Linux运维,5406,353.75,0.6,3.5,paid,2026-01-03
U100302,北京,Python开发,11741,178.16,0.15,5.0,paid,2026-01-24
U100303,山东,大数据基础,17595,390.99,0.47,,paid,2026-04-09
U100304,湖北,数据库应用,13301,184.96,0.19,4.5,refund,2026-05-03
U100305,,Spark分析,15390,353.52,0.75,5.0,paid,2026-04-12
U100306,四川,数据库应用,7160,43.55,0.25,4.5,paid,2026-03-09
U100307,浙江,Python开发,10512,262.61,0.26,4.5,paid,2026-01-07
U100308,河南,Linux运维,512,90.16,0.52,3.5,paid,2026-02-19
U100309,广东,Linux运维,3288,43.35,0.71,4.0,paid,2026-01-11
U100310,广东,Python开发,8557,153.13,0.44,,paid,2026-01-28
U100311,湖北,大数据基础,11537,65.14,0.56,3.5,refund,2026-03-07
U100312,上海,Python开发,1100,134.05,0.99,,paid,2026-03-27
U100313,北京,大数据基础,16313,102.97,0.42,3.5,refund,2026-02-06
U100314,广东,大数据基础,287,390.28,0.61,5.0,paid,2026-02-19
U100315,北京,数据库应用,11223,36.07,0.72,,paid,2026-03-29
U100316,广东,大数据基础,6287,330.82,0.85,4.0,refund,2026-05-02
U100317,广东,Spark分析,7046,331.02,0.39,5.0,paid,2026-05-16
U100318,江苏,Python开发,10697,313.64,0.65,4.5,paid,2026-03-16
U100319,山东,Spark分析,363,483.45,0.93,5.0,paid,2026-01-26
U100320,,Spark分析,15409,250.89,0.18,4.0,paid,2026-04-08
U100321,上海,Python开发,15936,153.7,0.91,,paid,2026-04-08
U100322,江苏,Linux运维,14424,347.27,0.56,5.0,paid,2026-03-09
U100323,浙江,数据库应用,15823,332.84,0.52,4.5,paid,2026-01-04
U100324,北京,大数据基础,11764,230.7,0.91,5.0,paid,2026-02-08
U100325,河南,Python开发,14235,90.63,0.5,4.0,paid,2026-05-19
U100326,北京,Python开发,9366,55.13,0.26,,refund,2026-05-20
U100327,广东,Linux运维,792,456.38,0.33,3.5,refund,2026-02-28
U100328,河南,数据库应用,11291,306.8,0.31,3.5,paid,2026-03-29
U100329,山东,大数据基础,1991,225.54,0.25,4.0,paid,2026-03-03
U100330,上海,Spark分析,6490,239.55,0.23,,paid,2026-04-12
U100331,上海,数据库应用,17839,215.2,0.86,,paid,2026-04-09
U100332,北京,数据库应用,2567,474.81,0.48,5.0,paid,2026-04-27
U100333,四川,Linux运维,608,445.08,0.28,3.5,paid,2026-02-08
U100334,浙江,大数据基础,11774,204.07,0.91,,refund,2026-01-30
U100335,湖北,Linux运维,10826,62.15,0.87,4.5,paid,2026-03-08
U100336,江苏,大数据基础,6426,381.3,0.9,4.0,paid,2026-04-26
U100337,广东,Spark分析,12459,458.2,0.58,5.0,refund,2026-05-03
U100338,浙江,Linux运维,301,128.53,0.73,5.0,paid,2026-04-07
U100339,上海,Spark分析,16829,173.48,0.98,4.0,paid,2026-04-02
U100340,,大数据基础,2612,148.72,0.3,4.5,paid,2026-01-05
U100341,上海,Spark分析,13435,213.89,0.75,5.0,paid,2026-04-10
U100342,江苏,大数据基础,10947,168.77,0.3,4.5,paid,2026-05-14
U100343,湖北,大数据基础,12348,305.95,0.69,4.5,refund,2026-02-24
U100344,北京,大数据基础,15924,63.89,0.36,4.5,refund,2026-01-27
U100345,北京,Python开发,16071,344.98,0.37,4.5,refund,2026-03-13
U100346,四川,大数据基础,8980,354.55,0.16,4.5,paid,2026-03-27
U100347,广东,Linux运维,5699,64.01,0.66,,paid,2026-01-13
U100348,江苏,Python开发,639,349.5,0.57,3.5,refund,2026-01-19
U100349,山东,数据库应用,2766,150.16,0.98,,refund,2026-04-22
U100350,河南,Python开发,1185,371.73,0.76,4.0,paid,2026-01-01
U100351,广东,大数据基础,4935,31.99,0.34,4.0,paid,2026-05-15
U100352,,大数据基础,8258,394.82,0.3,4.0,refund,2026-03-19
U100353,北京,数据库应用,11832,489.62,0.89,,refund,2026-02-17
U100354,上海,大数据基础,11613,347.2,0.33,3.5,paid,2026-05-12
U100355,四川,大数据基础,7640,266.92,0.47,4.5,paid,2026-01-22
U100356,河南,大数据基础,7985,382.27,0.19,4.0,refund,2026-04-19
U100357,湖北,Linux运维,15375,30.2,0.65,3.5,paid,2026-04-20
U100358,上海,Spark分析,2007,186.27,0.26,4.5,refund,2026-02-03
U100359,河南,Python开发,12748,29.54,0.25,4.0,paid,2026-05-02
U100360,北京,Spark分析,8048,271.6,0.61,5.0,paid,2026-03-18
U100361,河南,数据库应用,12013,355.66,0.57,,paid,2026-04-20
U100362,广东,大数据基础,17986,105.21,0.61,3.5,paid,2026-05-19
U100363,山东,大数据基础,13090,237.89,0.27,,paid,2026-04-28
U100364,河南,Spark分析,10531,225.81,0.44,,refund,2026-03-06
U100365,山东,大数据基础,9468,105.93,0.32,4.5,refund,2026-03-30
U100366,北京,Spark分析,912,105.48,0.71,4.0,paid,2026-01-13
U100367,广东,大数据基础,15069,97.87,0.59,5.0,refund,2026-05-21
U100368,四川,Python开发,10866,360.5,0.22,4.0,refund,2026-02-08
U100369,江苏,Spark分析,8178,74.94,0.91,4.0,paid,2026-04-21
U100370,河南,数据库应用,11385,52.85,0.59,,paid,2026-05-05
U100371,,Spark分析,8601,296.81,0.87,4.0,paid,2026-04-14
U100372,河南,Linux运维,3134,305.97,0.87,3.5,refund,2026-04-10
U100373,浙江,Linux运维,12837,280.6,0.25,3.5,paid,2026-05-13
